Acc X       , Acc Y       , Acc Z       , Gyro X      , Gyro Y      , Gyro Z      , Magn X      , Magn Y      , Magn Z      , Euler X     , Euler Y     , Euler Z     , Time        , Status      , LowRate X   , LowRate Y   , LowRate Z    
-0.0637673959, -0.011226655, -9.693992   , 0.004128026 , -0.000761687465, -0.00186426973, -0.119118243, -0.367196977, 0.5448294   , 0.00398779055, -0.006624445, 1.89154458  , 0           , 3           , 11          , 0.0346410163, 0.0346410163
-0.07723938 , -0.0399668925, -9.700727   , 0.00652494375, 0.0005699338, -0.00186426973, -0.119050831, -0.367062151, 0.544964254 , 0.00405316241, -0.00661867065, 1.89152551  , 0.01        , 3           , 12          , 0.0346410163, 0
-0.0597258  , -0.0574804731, -9.685908   , 0.00732391654, 0.000836258 , -0.0007989727, -0.119050831, -0.367129564, 0.5452339   , 0.004126455 , -0.00661027525, 1.89151788  , 0.02        , 3           , 14          , 0           , -0.000170447413
-0.03637436 , -0.0502954125, -9.685459   , 0.00639178138, -0.000229038968, -0.00146478321, -0.118983418, -0.3672644  , 0.5453013   , 0.00419047  , -0.00661250437, 1.8915031   , 0.03        , 3           , 15          , 0           , 0
-0.0570314  , -0.0282911714, -9.687256   , 0.00292956643, 3.728528E-05, -0.00266324216, -0.118983418, -0.3672644  , 0.5453013   , 0.00421994226, -0.00661201961, 1.89147639  , 0.04        , 3           , 50          , 0           , 0
-0.0552351438, -0.011675721, -9.692195   , 0.00306272856, 0.0015020686, -0.0027964043, -0.119050831, -0.3673318  , 0.545031667 , 0.004250754 , -0.006596882, 1.89144826  , 0.05        , 3           , 11          , 0.0346410163, 0.0346410163
-0.07454499 , -0.0395178236, -9.687705   , 0.00519332243, 0.000170447383, -0.00306272856, -0.119320482, -0.367196977, 0.5450991   , 0.004302889 , -0.00659504626, 1.89141774  , 0.06        , 3           , 12          , 0.0346410163, 0
-0.07274872 , -0.03861969 , -9.693093   , 0.006391782 , 0.0001704474, -0.00292956643, -0.119320482, -0.367399216, 0.5452339   , 0.00436699949, -0.006593216, 1.89138865  , 0.07        , 3           , 14          , 0           , -0.000170447413
-0.0449066162, -0.0404159576, -9.673783   , 0.007590241 , 0.000836258 , -0.00253008027, -0.119320482, -0.367399216, 0.5452339   , 0.004443069 , -0.00658474071, 1.89136338  , 0.08        , 3           , 15          , 0           , 0
-0.0660127252, -0.0435594171, -9.685011   , 0.007457078 , 0.00176839274, -0.003195891, -0.118916005, -0.3673318  , 0.545031667 , 0.0045178486, -0.006566914, 1.89133143  , 0.09        , 3           , 50          , 0           , 0
-0.07050339 , -0.0493972823, -9.689053   , 0.006125456 , 0.0008362578, -0.00119853381, -0.119185656, -0.367129564, 0.5452339   , 0.004579162 , -0.006558488, 1.89131474  , 0.1         , 3           , 11          , 0.0346410163, 0.0346410163
-0.03502716 , -0.05748047 , -9.68501    , 0.004660673 , -0.00129433617, -0.0007990474, -0.119253069, -0.367062151, 0.5451665   , 0.00462582149, -0.006571396, 1.89130712  , 0.11        , 3           , 12          , 0.0346410163, 0
-0.0637674  , -0.0624202043, -9.685459   , 0.005326484 , -0.001294336, -0.00186434446, -0.119185656, -0.367399216, 0.5453013   , 0.004679209 , -0.0065842513, 1.891288    , 0.12        , 3           , 14          , 8.142208E-10, -0.000170447223
-0.07050339 , -0.05298981 , -9.671988   , 0.00279640383, -0.00129433617, -0.0005327232, -0.119185656, -0.367399216, 0.5453013   , 0.004707208 , -0.006597171, 1.89128327  , 0.13        , 3           , 15          , 0           , 7.478625E-08
-0.07723939 , -0.0314346328, -9.669293   , 0.00106529624, -0.0006285255, -0.00119853381, -0.119118243, -0.367196977, 0.5452339   , 0.004717941 , -0.00660339743, 1.89127088  , 0.14        , 3           , 50          , 0           , 0
-0.06960526 , -0.0264949054, -9.686807   , 0.0050601596, 0.0008362578, -0.00199750648, -0.118916005, -0.3673318  , 0.5450991   , 0.00476867473, -0.00659494 , 1.89125085  , 0.15        , 3           , 11          , 0.0346410163, 0.0346410163
-0.0642164648, -0.0534388721, -9.688603   , 0.00692442944, 0.001102582 , -0.00186434435, -0.118983418, -0.3673318  , 0.5450991   , 0.004838041 , -0.00658382475, 1.89123225  , 0.16        , 3           , 12          , 0.0346410163, 0
-0.0498463474, -0.056133274, -9.702524   , 0.00599229429, 0.0012357441, -0.00199750625, -0.118983418, -0.3673318  , 0.5450991   , 0.004898095 , -0.00657137 , 1.89121222  , 0.17        , 3           , 14          , 8.142208E-10, -0.000170447223
-0.0642164648, -0.0606239364, -9.684112   , 0.00479383534, 0.00190155488, -0.00186434435, -0.118781179, -0.367062151, 0.5451665   , 0.00494615454, -0.0065522627, 1.89119363  , 0.18        , 3           , 15          , 0           , 7.478625E-08
-0.05433701 , -0.0287402365, -9.696686   , 0.0023969172, 3.72851E-05 , -0.00159802008, -0.119118243, -0.367196977, 0.5452339   , 0.004970228 , -0.00655181054, 1.89117789  , 0.19        , 3           , 50          , 0           , 0
-0.07095246 , -0.0444575548, -9.686806   , 0.000133121735, -0.00222644187, -0.00159805478, -0.119118243, -0.3672644  , 0.5451665   , 0.00497045927, -0.006573102, 1.89116073  , 0.2         , 3           , 11          , 0.0346693   , 0.0346693136
-0.0489482135, -0.0161663834, -9.678274   , 0.00239687762, -0.0006284964, -0.00239702757, -0.119118243, -0.3672644  , 0.5451665   , 0.004994586 , -0.006579267, 1.89113688  , 0.21        , 3           , 12          , 0.0345607735, 0
-0.07095245 , -0.01661545 , -9.694889   , 0.004660634 , 0.00136893522, -0.00226386543, -0.118983418, -0.3672644  , 0.544964254 , 0.005041341 , -0.00656546466, 1.89111447  , 0.22        , 3           , 14          , 4.04058653E-08, -0.000170476254
-0.0552351438, -0.04580475 , -9.664803   , 0.00412798533, 0.0007031247, -0.00199754117, -0.119118243, -0.3673318  , 0.545031667 , 0.005082752 , -0.00655833166, 1.89109445  , 0.23        , 3           , 15          , 0           , 1.09395209E-07
-0.07858658 , -0.0372724943, -9.692644   , 0.00572593044, 0.00190158351, -0.00279651373, -0.119185656, -0.367062151, 0.5450991   , 0.005140194 , -0.006539174, 1.89106631  , 0.24        , 3           , 50          , 0           , 0
-0.0606239364, -0.0287402347, -9.697584   , 0.00479379529, 0.00123577309, -0.002929676, -0.118916005, -0.367399216, 0.544896841 , 0.005188323 , -0.00652666576, 1.89103723  , 0.25        , 3           , 11          , 0.0346693   , 0.0346693136
-0.0538879447, -0.033230897, -9.672886   , 0.003994823 , 0.000836286868, -0.00226386543, -0.118916005, -0.367399216, 0.544896841 , 0.005228418 , -0.00651818374, 1.89101434  , 0.26        , 3           , 12          , 0.0345607735, 0
-0.0570314  , -0.0395178236, -9.700279   , 0.00559276855, 0.00136893522, -0.00159805478, -0.118983418, -0.3673318  , 0.545031667 , 0.005284449 , -0.00650441041, 1.8909986   , 0.27        , 3           , 14          , 4.04058653E-08, -0.000170476254
-0.06601273 , -0.011675721, -9.691298   , 0.00545960665, 0.000969449 , -0.00106540637, -0.118983418, -0.3672644  , 0.5452339   , 0.005339114 , -0.006494659, 1.89098811  , 0.28        , 3           , 15          , 0           , 1.09395209E-07
-0.0538879447, -0.0260458384, -9.702972   , 0.003994823 , 0.001901584 , -0.00146489264, -0.119185656, -0.3673318  , 0.5451665   , 0.00537915574, -0.00647556363, 1.89097333  , 0.29        , 3           , 50          , 0           , 0
-0.0525407456, -0.03996689 , -9.687256   , 0.004191985 , 0.001775709 , -0.000931887131, -0.119185656, -0.3673318  , 0.5451665   , 0.003998292 , -0.00630816 , 1.8909719   , 0.3         , 3           , 11          , 0.0346887857, 0.0346888155
-0.04221222 , -0.0624202043, -9.67558    , 0.006588903 , 0.0008435743, -0.0007987249, -0.119118243, -0.3672644  , 0.5451665   , 0.00406423165, -0.006299693, 1.89096427  , 0.31        , 3           , 12          , 0.0345379859, 0
-0.0543370023, -0.0767903253, -9.6670475  , 0.00712155038, 0.000310925854, -0.00186402176, -0.118983418, -0.367129564, 0.5452339   , 0.0041355635, -0.00629650662, 1.89094567  , 0.32        , 3           , 14          , 6.920317E-05, -0.000177763737
-0.0624201968, -0.04984635 , -9.669292   , 0.005257281 , -8.856046E-05, -0.00186402176, -0.118916005, -0.3672644  , 0.545031667 , 0.004188254 , -0.00629731547, 1.8909266   , 0.33        , 3           , 15          , 0           , -2.47734164E-07
-0.07903565 , -0.03682343 , -9.678274   , 0.00485779531, -0.000221722585, -0.00226350827, -0.118916005, -0.3672644  , 0.545031667 , 0.00423697475, -0.00629943656, 1.89090419  , 0.34        , 3           , 50          , 0           , 0
-0.0525407456, -0.052989807, -9.695787   , 0.0061894157, 0.000444088 , -0.0029293187, -0.118848592, -0.3673318  , 0.545031667 , 0.00429905346, -0.006294871, 1.8908751   , 0.35        , 3           , 11          , 0.0346887857, 0.0346888155
-0.04490662 , -0.057031408, -9.683214   , 0.00552360527, 0.0009767364, -0.00226350827, -0.119118243, -0.367129564, 0.5450991   , 0.00435443176, -0.006285006, 1.89085221  , 0.36        , 3           , 12          , 0.0345379859, 0
-0.0484991446, -0.0296383686, -9.702524   , 0.00698838942, 0.001642547 , 0.0002665719, -0.118983418, -0.367399216, 0.5451665   , 0.004424298 , -0.006268593, 1.89085507  , 0.37        , 3           , 14          , 6.920317E-05, -0.000177763737
-0.07005432 , -0.0251477063, -9.700727   , 0.00832001  , 0.00150938483, 0.000532896258, -0.118983418, -0.367399216, 0.5451665   , 0.00450746436, -0.00625352329, 1.8908608   , 0.38        , 3           , 15          , 0           , -2.47734164E-07
-0.06691086 , -0.0426612869, -9.674683   , 0.00578992954, -8.85605041E-05, -0.000399238575, -0.118916005, -0.367399216, 0.5450991   , 0.00456538843, -0.006254391, 1.8908565   , 0.39        , 3           , 50          , 0           , 0
-0.0853225738, -0.044008486, -9.704321   , 0.005643031 , -0.00101498794, -0.0005326282, -0.119185656, -0.3672644  , 0.545368731 , 0.00447864551, -0.006205025, 1.89084792  , 0.4         , 3           , 11          , 0.0199628454, 0.0199629832
-0.0646655262, -0.0157173164, -9.691747   , 0.006575166 , -0.0006155015, -0.00146476307, -0.119185656, -0.367129564, 0.544964254 , 0.00454448862, -0.00621111365, 1.89083314  , 0.41        , 3           , 12          , 0.03457137  , 0
-0.07229966 , -0.0480500832, -9.69938    , 0.00457773451, -0.00234660879, -0.001331601, -0.118983418, -0.367399216, 0.5451665   , 0.00459034927, -0.00623451872, 1.89081979  , 0.42        , 3           , 14          , 8.29398341E-05, -0.000183471231
-0.065114595, -0.0444575548, -9.685459   , 0.00431141024, -0.00274609518, -0.00146476307, -0.118983418, -0.367399216, 0.5451665   , 0.00463355565, -0.00626191124, 1.89080453  , 0.43        , 3           , 15          , 0           , -2.02772856E-08
-0.0538879447, -0.03637436 , -9.668395   , 0.00550986873, -0.000482339441, -0.00106527656, -0.118983418, -0.3673318  , 0.5451665   , 0.00468872  , -0.00626668427, 1.890794    , 0.44        , 3           , 50          , 0           , 0
-0.05568421 , -0.0565823428, -9.675131   , 0.00391192362, 0.00044979548, -0.00119843881, -0.119050831, -0.3673318  , 0.5452339   , 0.004727915 , -0.00626212964, 1.89078212  , 0.45        , 3           , 11          , 0.0199628454, 0.0199629832
-0.06466553 , -0.05613327 , -9.704321   , 0.00431141024, -0.00021601512, -0.00239689788, -0.119050831, -0.3672644  , 0.5450991   , 0.00477117952, -0.00626417669, 1.8907578   , 0.46        , 3           , 12          , 0.03457137  , 0
-0.0583786  , -0.0538879447, -9.677376   , 0.004444572 , -0.000216015091, -0.00266322214, -0.119050831, -0.3672644  , 0.5450991   , 0.00481579173, -0.00626620837, 1.89073157  , 0.47        , 3           , 14          , 8.29398341E-05, -0.000183471231
-0.0830772445, -0.0300874356, -9.649983   , 0.004045086 , 0.00138193031, -0.00213057362, -0.119050831, -0.367534041, 0.544964254 , 0.004856376 , -0.00625228649, 1.89071012  , 0.48        , 3           , 15          , 0           , -2.02772856E-08
-0.0484991521, -0.0296383686, -9.667946   , 0.00617567962, 0.00178141659, -0.00159792509, -0.119185656, -0.3672644  , 0.5451665   , 0.004918232 , -0.00623439346, 1.89069438  , 0.49        , 3           , 50          , 0           , 0
-0.04849915 , -0.05298981 , -9.689501   , 0.006136401 , -0.000895513862, -0.00226340722, -0.119050831, -0.367399216, 0.5450991   , 0.00476595527, -0.006317784, 1.89067292  , 0.5         , 3           , 11          , 0.0143381562, 0.0143382214
-0.0615220629, -0.08038285 , -9.683662   , 0.005071104 , -0.000496027467, -0.002130245, -0.119050831, -0.367399216, 0.5450991   , 0.00481680175, -0.00632264232, 1.890652    , 0.51        , 3           , 12          , 0.0346589461, 0
-0.0646655262, -0.04445755 , -9.693093   , 0.004671617 , 0.00203405274, -0.00186392083, -0.118983418, -0.367399216, 0.5448294   , 0.00486363424, -0.006302212, 1.89063334  , 0.52        , 3           , 14          , 0.000122219 , -0.000169783016
-0.06915619 , -0.0525407456, -9.673334   , 0.00360632036, 0.00110191794, -0.00226340722, -0.119118243, -0.367196977, 0.5452339   , 0.00489984  , -0.006291082, 1.89061093  , 0.53        , 3           , 15          , 0           , -3.48770357E-07
-0.07723939 , -0.042212218, -9.664803   , 0.002141537 , -0.000229703335, -0.00226340722, -0.119118243, -0.367196977, 0.545031667 , 0.004921397 , -0.006293267, 1.890588    , 0.54        , 3           , 50          , 0           , 0
-0.07229966 , -0.04355942 , -9.669743   , 0.003073672 , 0.000835593557, -0.001997083, -0.118916005, -0.367534041, 0.544964254 , 0.00495225936, -0.006284813, 1.890568    , 0.55        , 3           , 11          , 0.0143381562, 0.0143382214
-0.0467028841, -0.0327818319, -9.677377   , 0.005337428 , 0.0009687557, -0.001997083, -0.118916005, -0.367534041, 0.544964254 , 0.00500575872, -0.006275026, 1.890548    , 0.56        , 3           , 12          , 0.0346589461, 0
-0.0619711354, -0.03502716 , -9.687705   , 0.00653588725, -9.654122E-05, -0.00173075881, -0.119118243, -0.3672644  , 0.545031667 , 0.00507122651, -0.00627590343, 1.89053082  , 0.57        , 3           , 14          , 0.000122219 , -0.000169783016
-0.06960525 , -0.0489482135, -9.690848   , 0.004671617 , -0.000895513862, -0.00159759657, -0.118983418, -0.3673318  , 0.5451665   , 0.0051180427, -0.006284777, 1.89051461  , 0.58        , 3           , 15          , 0           , -3.48770357E-07
-0.06197113 , -0.0336799622, -9.697584   , 0.003339996 , -0.000895513862, -0.001997083, -0.119050831, -0.3672644  , 0.545031667 , 0.005151569 , -0.00629363 , 1.89049459  , 0.59        , 3           , 50          , 0           , 0
-0.07050339 , -0.0255967733, -9.693992   , 0.005413503 , 0.0008152545, -0.00199670135, -0.119050831, -0.3672644  , 0.545031667 , 0.005016063 , -0.006353034, 1.89047551  , 0.6         , 3           , 11          , 0.0119228065, 0.0119228717
-0.06780899 , -0.0238005072, -9.692644   , 0.005812989 , -0.00011688035, -0.00173037732, -0.118983418, -0.367399216, 0.5450991   , 0.00507430127, -0.00635411544, 1.89045835  , 0.61        , 3           , 12          , 0.0347990878, 0
-0.052091673, -0.036374364, -9.716446   , 0.004215044 , -0.00224747416, -0.00159721519, -0.119118243, -0.3672644  , 0.544964254 , 0.005116554 , -0.00637650769, 1.89044213  , 0.62        , 3           , 14          , 0.000179306313, -0.000149444008
-0.0565823428, -0.0449066237, -9.703871   , 0.0020844494, -0.00198115 , -0.00252934988, -0.119118243, -0.3672644  , 0.5451665   , 0.005137561 , -0.00639618933, 1.89041638  , 0.63        , 3           , 15          , 0           , -7.30302645E-07
-0.0848735049, -0.036374364, -9.693093   , 0.00301658479, 0.0002826061, -0.00212986348, -0.119118243, -0.3672644  , 0.5451665   , 0.00516786333, -0.006393255, 1.8903954   , 0.64        , 3           , 50          , 0           , 0
-0.0507444777, -0.0287402347, -9.697584   , 0.006212476 , 0.00387798366, -0.00212986348, -0.119185656, -0.367196977, 0.544964254 , 0.00523012225, -0.006354363, 1.890374    , 0.65        , 3           , 11          , 0.0119228065, 0.0119228717
-0.0785865858, -0.044008486, -9.688602   , 0.005280341 , 0.00321217277, -0.00332832243, -0.119050831, -0.3672644  , 0.5451665   , 0.00528313546, -0.00632206677, 1.890341    , 0.66        , 3           , 12          , 0.0347990878, 0
