Acc X       , Acc Y       , Acc Z       , Gyro X      , Gyro Y      , Gyro Z      , Magn X      , Magn Y      , Magn Z      , Euler X     , Euler Y     , Euler Z     , Time        , Status      , LowRate X   , LowRate Y   , LowRate Z    
-0.0166387372, -0.0528990254, 9.80498     , 0.0030307956, -0.000114307215, 8.473231E-05, -0.523594439, 0.098961845 , -0.369758666, 3.13676882  , -0.00062795484, 2.95818448  , 0           , 3           , 11          , 0.0346410163, 0.0346410163
-0.0221531112, -0.06405959 , 9.788622    , 0.00329788821, 0.00298481854, 9.082255E-05, -0.523594439, 0.098961845 , -0.369758666, 3.13680172  , -0.000657807046, 2.95818353  , 0.01        , 3           , 12          , 0.0346410163, 0
-0.0463488661, -0.03946329 , 9.804358    , 0.0007562986, 0.00268605864, -0.0018992261, -0.523594439, 0.098961845 , -0.369758666, 3.13680935  , -0.000684576458, 2.9582026   , 0.02        , 3           , 14          , 0.000151145316, 0.00057980587
-0.0165303461, -0.03986704 , 9.820403    , -0.002033861, -0.0040906  , -0.0007926598, -0.5233922  , 0.09909667  , -0.36868006 , 3.136789    , -0.000643633, 2.95821023  , 0.03        , 3           , 15          , 0           , 0.000195410423
-0.00246887 , -0.0413505025, 9.810108    , -0.00373694929, -0.00241267029, -0.00108049531, -0.523729265, 0.0992315   , -0.3694216  , 3.13675165  , -0.0006194544, 2.9582212   , 0.04        , 3           , 50          , 0           , 0
-0.0192646049, -0.04342017 , 9.813136    , -0.00149442558, 0.0009813895, -0.00134729012, -0.5233248  , 0.098961845 , -0.369489   , 3.13673663  , -0.00062920287, 2.95823455  , 0.05        , 3           , 11          , 0.0346410163, 0.0346410163
0.008998299 , -0.0636072159, 9.81372     , 0.0010460217, 0.00128014456, -0.00133500376, -0.5233248  , 0.098961845 , -0.369489   , 3.13674712  , -0.0006419396, 2.95824838  , 0.06        , 3           , 12          , 0.0346410163, 0
-0.00126652792, -0.05577608 , 9.801922    , -0.00175299123, -0.003807126, -0.00107344647, -0.5233248  , 0.09902926  , -0.368545234, 3.13672972  , -0.00060381653, 2.95825887  , 0.07        , 3           , 14          , 0.000151145316, 0.00057980587
0.0018462697, -0.0242425036, 9.806598    , -0.00121248828, 0.0009832974, -0.0021935855, -0.5237967  , 0.099433735 , -0.36962384 , 3.13671756  , -0.000613542565, 2.9582808   , 0.08        , 3           , 15          , 0           , 0.000195410423
-0.00725686364, -0.06293295 , 9.804107    , -0.000639522565, -0.0004207027, -0.000215359, -0.523661852, 0.09889443  , -0.36962384 , 3.13671112  , -0.000609324954, 2.95828271  , 0.09        , 3           , 50          , 0           , 0
0.00764904  , -0.0613521375, 9.818691    , -0.000365459768, 0.0012705978, -0.0002114385, -0.523661852, 0.09889443  , -0.36962384 , 3.13670754  , -0.000622025051, 2.95828462  , 0.1         , 3           , 11          , 0.0346410163, 0.0346410163
-0.0112830242, -0.0521330833, 9.826719    , -8.04081E-05, 0.0007093769, -0.0004935269, -0.523122549, 0.09875961  , -0.3689497  , 3.13670659  , -0.000629094546, 2.95828986  , 0.11        , 3           , 12          , 0.0346410163, 0
-0.0234419368, -0.050596796, 9.814881    , 0.000466649828, 0.004373545 , 7.982283E-05, -0.523661852, 0.09909667  , -0.36962384 , 3.13671136  , -0.000672833354, 2.95828938  , 0.12        , 3           , 14          , 0.000151145345, 0.0005798058
-0.0138722  , -0.0511051454, 9.798681    , -0.000655924261, 0.0029580798, 0.0003549229, -0.523661852, 0.09909667  , -0.36962384 , 3.13670468  , -0.000702431134, 2.95828557  , 0.13        , 3           , 15          , 0           , 0.000195410466
-0.0116152149, -0.0453347936, 9.819062    , 0.00105446  , -0.000127673789, 0.00120566378, -0.523661852, 0.09909667  , -0.36962384 , 3.13671517  , -0.0007012133, 2.95827413  , 0.14        , 3           , 50          , 0           , 0
-0.0204813853, -0.0410577543, 9.786016    , 0.0021657194, 0.00354031078, 0.0006514977, -0.5234596  , 0.098961845 , -0.368747473, 3.13673687  , -0.0007366478, 2.95826745  , 0.15        , 3           , 11          , 0.0346410163, 0.0346410163
-0.009158156, -0.03627787 , 9.80104     , -0.005137442, -0.00467473827, -0.000242939, -0.5237967  , 0.09909667  , -0.3694216  , 3.13668561  , -0.0006898891, 2.95826936  , 0.16        , 3           , 12          , 0.0346410163, 0
-0.008252292, -0.07102944 , 9.799998    , -7.081322E-05, -0.00126157945, -0.0007791019, -0.523661852, 0.09909667  , -0.3693542  , 3.136685    , -0.000677235133, 2.95827746  , 0.17        , 3           , 14          , 0.000151145345, 0.0005798058
-0.0113336956, -0.0602084473, 9.813127    , -6.925607E-05, -0.00154314365, -0.0004969984, -0.523661852, 0.09909667  , -0.3693542  , 3.13668418  , -0.000661779544, 2.95828223  , 0.18        , 3           , 15          , 0           , 0.000195410466
0.006190551 , -0.0356031731, 9.81517     , -0.00232711318, -0.00183998782, -0.000225430311, -0.5233922  , 0.09875961  , -0.369017124, 3.13666081  , -0.000643368636, 2.95828462  , 0.19        , 3           , 50          , 0           , 0
-0.0334796831, -0.05812977 , 9.808898    , -8.598421E-05, 0.00183563761, -0.0004917915, -0.523729265, 0.09909667  , -0.36962384 , 3.13666     , -0.000661706, 2.95828938  , 0.2         , 3           , 11          , 0.03466943  , 0.03466943
-0.0267127827, -0.06671032 , 9.787671    , 0.0004892801, -0.000131495122, 0.000637954567, -0.5234596  , 0.09882702  , -0.369286776, 3.13666487  , -0.000660422549, 2.95828319  , 0.21        , 3           , 12          , 0.0346692428, 0
-0.00724707451, -0.06738853 , 9.787365    , -7.573673E-05, -0.000135315844, 0.000352783129, -0.5234596  , 0.09882702  , -0.369286776, 3.13666415  , -0.0006590868, 2.95827985  , 0.22        , 3           , 14          , 0.000151145447, 0.000579805637
-0.00392903 , -0.05302216 , 9.797394    , 0.00246914476, -0.000962826831, -0.00161442847, -0.523594439, 0.098961845 , -0.3684104  , 3.136689    , -0.0006493793, 2.958296    , 0.23        , 3           , 15          , 0           , 0.0001954108
-0.00371560175, -0.04169046 , 9.781623    , 0.0004914155, -0.000694628456, -0.000493063068, -0.5237967  , 0.09916408  , -0.369286776, 3.13669372  , -0.0006424089, 2.95830083  , 0.24        , 3           , 50          , 0           , 0
-0.0267632287, -0.0342417657, 9.793681    , 0.0004903478, -0.000413061818, 7.2445604E-05, -0.523527   , 0.09909667  , -0.369286776, 3.13669872  , -0.000638281868, 2.95829988  , 0.25        , 3           , 11          , 0.03466943  , 0.03466943
0.00520553067, -0.03967407 , 9.821474    , 0.000485186873, 0.000431628723, -0.00162147742, -0.523527   , 0.09909667  , -0.369286776, 3.13670349  , -0.000642518862, 2.958316    , 0.26        , 3           , 12          , 0.0346692428, 0
0.004212627 , -0.04687581 , 9.819629    , 0.00133943744, -0.0009704668, -0.00161969627, -0.5234596  , 0.09902926  , -0.3688149  , 3.13671684  , -0.00063273526, 2.9583323   , 0.27        , 3           , 14          , 0.000151145447, 0.000579805637
0.0112003842, -0.0365306847, 9.805261    , -0.00374236237, -0.00128640886, -0.0007962224, -0.5238641  , 0.098961845 , -0.3694216  , 3.13667941  , -0.000619832368, 2.95834     , 0.28        , 3           , 15          , 0           , 0.0001954108
0.0134068308, -0.0437454358, 9.796207    , 0.003893246 , -0.00320579344, -0.000198627764, -0.5233248  , 0.09909667  , -0.369489   , 3.13671827  , -0.000587765069, 2.95834184  , 0.29        , 3           , 50          , 0           , 0
-0.000470455736, -0.06524879 , 9.798274    , 0.00135082717, -0.00294141471, 0.00120264187, -0.5233248  , 0.09909667  , -0.369489   , 3.13673186  , -0.000558398664, 2.95832944  , 0.3         , 3           , 11          , 0.03475512  , 0.0347551219
-0.00486415438, -0.04500117 , 9.830415    , -0.0009265464, 0.00070365204, 0.00148028508, -0.5233922  , 0.0992315   , -0.368747473, 3.13672256  , -0.0005655071, 2.95831513  , 0.31        , 3           , 12          , 0.03475475  , 0
0.0162679031, -0.02491365 , 9.82162     , -0.0003595573, 0.000144338643, 0.000351901137, -0.523729265, 0.09909667  , -0.369691253, 3.136719    , -0.0005669676, 2.95831132  , 0.32        , 3           , 14          , 0.000151145185, 0.000579806161
0.009844222 , -0.0360666141, 9.806157    , -0.00036717992, 0.00155216118, -0.000776078959, -0.523527   , 0.09889443  , -0.3694216  , 3.13671541  , -0.0005824512, 2.95831943  , 0.33        , 3           , 15          , 0           , 0.000195409841
-0.005018926, -0.06789044 , 9.794612    , 0.001899531 , 0.000159616815, -0.000202638126, -0.523527   , 0.09889443  , -0.3694216  , 3.13673449  , -0.000584037451, 2.95832133  , 0.34        , 3           , 50          , 0           , 0
-0.00482300948, -0.0422897339, 9.82907     , -0.0009176041, -0.00126730732, 6.45600958E-05, -0.5233248  , 0.09889443  , -0.368275583, 3.13672519  , -0.0005713677, 2.95832086  , 0.35        , 3           , 11          , 0.03475512  , 0.0347551219
-0.009484387, -0.0539498776, 9.824015    , 0.00106045138, -0.00153550436, -0.000491730054, -0.5239315  , 0.0992315   , -0.3694216  , 3.136736    , -0.00055598875, 2.95832562  , 0.36        , 3           , 12          , 0.03475475  , 0
0.0006748652, -0.048550196, 9.793379    , 0.003308462 , 0.00101386663, 0.00150047312, -0.523527   , 0.09909667  , -0.369489   , 3.13676882  , -0.0005662  , 2.95831037  , 0.37        , 3           , 14          , 0.000151145185, 0.000579806161
-0.00432158541, -0.04716548 , 9.801483    , 0.00216408772, 0.00354030286, -0.00217387639, -0.523527   , 0.09909667  , -0.369489   , 3.13679051  , -0.000601497944, 2.9583323   , 0.38        , 3           , 15          , 0           , 0.000195409841
-0.02498446 , -0.03518196 , 9.798663    , 0.0013181126, 0.00353457918, 8.24724557E-05, -0.523594439, 0.09902926  , -0.36868006 , 3.13680363  , -0.0006368474, 2.95833182  , 0.39        , 3           , 50          , 0           , 0
-0.0131883472, -0.0335155576, 9.798759    , 0.001049789 , 0.000717018556, 0.000359354482, -0.5237967  , 0.09909667  , -0.369489   , 3.136814    , -0.0006440318, 2.95832849  , 0.4         , 3           , 11          , 0.03489723  , 0.0348972343
-0.0141020371, -0.034404207, 9.797846    , -0.00260101282, -0.003531288, 5.318786E-05, -0.523527   , 0.09882702  , -0.369691253, 3.13678813  , -0.0006087219, 2.95832753  , 0.41        , 3           , 12          , 0.03489667  , 0
-0.0130937072, -0.0565749481, 9.812225    , 0.004737814 , -0.00235536229, 0.002349464 , -0.523527   , 0.09882702  , -0.369691253, 3.13683558  , -0.0005852809, 2.95830369  , 0.42        , 3           , 14          , 0.000151144937, 0.000579806336
0.0205328632, -0.0452655852, 9.820664    , 0.001898953 , 0.0004411857, 0.001210484 , -0.523527   , 0.09889443  , -0.3688823  , 3.13685465  , -0.0005897503, 2.95829177  , 0.43        , 3           , 15          , 0           , 0.000195409
0.005569444 , -0.04644665 , 9.821448    , 0.001336398 , -0.0001257667, 0.000359369616, -0.5237967  , 0.098961845 , -0.369556427, 3.136868    , -0.000588509662, 2.95828843  , 0.44        , 3           , 50          , 0           , 0
0.0281352177, -0.0579307377, 9.8034935   , 0.00303128525, -0.000114305316, 0.000932346156, -0.523527   , 0.09882702  , -0.3694216  , 3.13689828  , -0.0005874104, 2.958279    , 0.45        , 3           , 11          , 0.03489723  , 0.0348972343
0.008446194 , -0.06680682 , 9.827714    , 0.002185562 , -0.0004015996, 0.00121049909, -0.523527   , 0.09882702  , -0.3694216  , 3.13692021  , -0.0005834512, 2.9582665   , 0.46        , 3           , 12          , 0.03489667  , 0
-0.0113070477, -0.05438429 , 9.825355    , 0.000761949341, 0.0018413699, 0.0006423108, -0.523661852, 0.09889443  , -0.368612647, 3.13692784  , -0.00060189463, 2.95826077  , 0.47        , 3           , 14          , 0.000151144937, 0.000579806336
