Acc X       , Acc Y       , Acc Z       , Gyro X      , Gyro Y      , Gyro Z      , Magn X      , Magn Y      , Magn Z      , Euler X     , Euler Y     , Euler Z     , Time        , Status      , LowRate X   , LowRate Y   , LowRate Z    
-0.101190537, 0.105276652 , -9.788054   , -0.00302910921, -0.000230258913, 0.000491994433, -0.223944992, -0.13084805 , 0.452878535 , -0.009861912, -0.008819245, 2.63531852  , 0           , 3           , 11          , 0.0346410163, 0.0346410163
-0.0989970341, 0.0931415558, -9.809783   , -0.00148711377, 0.00189197983, -0.00105146389, -0.22367534 , -0.13084805 , 0.452878535 , -0.009876687, -0.008800428, 2.63530755  , 0.01        , 3           , 12          , 0.0346410163, 0
-0.09254284 , 0.105211943 , -9.798836   , -0.0006364301, 0.00119379663, -0.0011898668, -0.223742753, -0.130780637, 0.452945948 , -0.0098829465, -0.008788608, 2.635296    , 0.02        , 3           , 50          , 0           , 0
-0.108541235, 0.120377488 , -9.824658   , -0.0017517081, -0.0016294918, -0.0003518615, -0.223742753, -0.130780637, 0.452945948 , -0.009900434, -0.008804939, 2.63529229  , 0.03        , 3           , 11          , 0.0346410163, 0.0346410163
-0.0945458561, 0.08767006  , -9.808415   , -0.000195082961, -0.00218211464, 0.000502126233, -0.223540515, -0.13084805 , 0.4532156   , -0.009902433, -0.008826708, 2.635298    , 0.04        , 3           , 12          , 0.0346410163, 0
-0.09308174 , 0.09711317  , -9.803845   , -0.00133179745, -0.000922715233, -0.0007726074, -0.223810166, -0.130780637, 0.453013361 , -0.00991568249, -0.008836011, 2.63529038  , 0.05        , 3           , 50          , 0           , 0
-0.09667286 , 0.0989663452, -9.805673   , -0.00189890515, -0.000504188356, -0.00105712784, -0.223405689, -0.131252527, 0.452945948 , -0.009934578, -0.008841159, 2.63528     , 0.06        , 3           , 11          , 0.0346410163, 0.0346410163
-0.0867478251, 0.10283719  , -9.783886   , -0.0006325372, 0.0004898858, -0.000484607852, -0.223405689, -0.131252527, 0.452945948 , -0.009940861, -0.008836307, 2.63527465  , 0.07        , 3           , 12          , 0.0346410163, 0
-0.08929856 , 0.08299195  , -9.777658   , 0.0004946269, 0.001060657 , -5.46661067E-05, -0.223742753, -0.130780637, 0.453013361 , -0.00993591 , -0.008825706, 2.63527417  , 0.08        , 3           , 50          , 0           , 0
-0.0987947  , 0.107142352 , -9.814243   , 0.00134289346, 0.0007848199, -0.000757493, -0.223607928, -0.13084805 , 0.4532156   , -0.009922412, -0.008817934, 2.63526654  , 0.09        , 3           , 11          , 0.0346410163, 0.0346410163
-0.0632494763, 0.0900253   , -9.812686   , 0.000353783951, 0.000918918 , -0.000620617, -0.22367534 , -0.1311177  , 0.453013361 , -0.009918819, -0.008808809, 2.63525987  , 0.1         , 3           , 12          , 0.0346410163, 0
-0.06775683 , 0.09768301  , -9.793254   , -0.000200948125, -0.000915069832, 0.001210422 , -0.22367534 , -0.1311177  , 0.453013361 , -0.009920935, -0.0088178385, 2.63527226  , 0.11        , 3           , 50          , 0           , 0
-0.0903934538, 0.09393379  , -9.807002   , 0.00234204275, -0.00117944635, 0.0007980345, -0.223742753, -0.130713224, 0.4532156   , -0.009897587, -0.008829553, 2.63528037  , 0.12        , 3           , 11          , 0.0346410163, 0.0346410163
-0.10604471 , 0.08497962  , -9.773711   , 0.00177600258, -0.00104248617, -5.19949E-05, -0.2234731  , -0.1311177  , 0.4532156   , -0.009879824, -0.008839982, 2.63528     , 0.13        , 3           , 12          , 0.0346410163, 0
-0.094500035, 0.0993123   , -9.782151   , -0.000349413458, 0.0003510135, -0.000483508484, -0.223540515, -0.130915463, 0.4532156   , -0.009883274, -0.008836519, 2.63527513  , 0.14        , 3           , 50          , 0           , 0
-0.09954087 , 0.121119037 , -9.808314   , -0.000359824073, 0.00232196576, -0.00161062088, -0.223540515, -0.130915463, 0.4532156   , -0.009886729, -0.008813461, 2.635259    , 0.15        , 3           , 11          , 0.0346410163, 0.0346410163
