Acc X       , Acc Y       , Acc Z       , Gyro X      , Gyro Y      , Gyro Z      , Magn X      , Magn Y      , Magn Z      , Euler X     , Euler Y     , Euler Z     , Time        , Status      , LowRate X   , LowRate Y   , LowRate Z    
-6.84657335 , 6.646866    , -0.166645214, 0.207402542 , -0.2508591  , -1.31400621 , 0.5598647   , -0.4633531  , 0.885677457 , -1.56413    , -0.262626439, -1.11797357 , 0           , 23          , 11          , 0.0346410163, 0.0346410163
-6.91696739 , 6.57901859  , -0.07209094 , 0.212795228 , -0.2590914  , -1.361203   , 0.6425749   , -0.3694039  , 0.8748956   , -1.56268966 , -0.276257336, -1.1153903  , 0.01        , 23          , 12          , 0.0346410163, 0
-6.912541   , 6.599249    , 0.240879536 , 0.231478885 , -0.262863636, -1.411447   , 0.6513282   , -0.3560648  , 0.872617245 , -1.56110358 , -0.290394545, -1.11278343 , 0.02        , 23          , 50          , 0           , 0
-6.90792656 , 6.578934    , 0.232660919 , 0.244457051 , -0.27482152 , -1.46151817 , 0.6621063   , -0.341606259, 0.871474    , -1.559455   , -0.305037856, -1.11007    , 0.03        , 23          , 11          , 0.0346410163, 0.0346410163
-6.96831942 , 6.370474    , 0.04265794  , 0.2635558   , -0.294532478, -1.50458574 , 0.670716643 , -0.328541815, 0.870908    , -1.55771184 , -0.3201186  , -1.107168   , 0.04        , 23          , 12          , 0.0346410163, 0
-7.05062628 , 6.32738     , 0.0477381423, 0.290917    , -0.3090612  , -1.5680058  , 0.678100348 , -0.313921034, 0.8690703   , -1.55577922 , -0.335840583, -1.10413623 , 0.05        , 23          , 50          , 0           , 0
-7.194544   , 6.451087    , -0.0373612866, 0.30957666  , -0.319269568, -1.631383   , 0.678100348 , -0.313921034, 0.8690703   , -1.55373335 , -0.3522035  , -1.10102344 , 0.06        , 23          , 11          , 0.0346410163, 0.0346410163
-7.52381325 , 6.17980862  , 0.009146927 , 0.314207    , -0.312306255, -1.65937877 , 0.6889947   , -0.295937777, 0.867084146 , -1.551655   , -0.3688511  , -1.09800744 , 0.07        , 23          , 12          , 0.0346410163, 0
-7.66734934 , 6.30183554  , 0.0959419161, 0.3132158   , -0.2977835  , -1.66629016 , 0.6978623   , -0.280617237, 0.8663829   , -1.54956925 , -0.3855707  , -1.09516668 , 0.08        , 23          , 50          , 0           , 0
-7.65471458 , 6.609271    , -0.192555875, 0.2971413   , -0.289942384, -1.63329923 , 0.705632746 , -0.26247257 , 0.8639861   , -1.54765153 , -0.401963979, -1.09242034 , 0.09        , 23          , 11          , 0.0346410163, 0.0346410163
-7.72626734 , 6.592381    , -0.478304327, 0.287194282 , -0.265868247, -1.55891752 , 0.705632746 , -0.26247257 , 0.8639861   , -1.54576707 , -0.417636931, -1.021848   , 0.1         , 23          , 12          , 0.0346410163, 0
-7.749817   , 6.70230055  , -0.532100141, 0.248805627 , -0.216491312, -1.47634578 , 0.7157222   , -0.246878833, 0.8631366   , -1.54408574 , -0.432451457, -1.0198915  , 0.11        , 23          , 50          , 0           , 0
-7.878285   , 6.41726065  , -0.547044158, 0.183028549 , -0.169548035, -1.38107288 , 0.721615851 , -0.23295334 , 0.8613042   , -1.54287469 , -0.446303278, -1.01843572 , 0.12        , 23          , 11          , 0.0346410163, 0.0346410163
-7.92392445 , 6.40371656  , -0.421632469, 0.139281139 , -0.1159909  , -1.28143144 , 0.727630258 , -0.2177533  , 0.8607606   , -1.54186869 , -0.4591454  , -1.01755142 , 0.13        , 23          , 12          , 0.0346410163, 0
-7.856938   , 6.496689    , -0.426914   , 0.07849628  , -0.08122363 , -1.19510138 , 0.7344919   , -0.206936672, 0.859767    , -1.541316   , -0.471114963, -1.01703334 , 0.14        , 23          , 50          , 0           , 0
-7.93916225 , 5.97144556  , -0.320492566, 0.02425194  , -0.038307745, -1.10440385 , 0.7344919   , -0.206936672, 0.859767    , -1.54110253 , -0.482165515, -1.01697016 , 0.15        , 23          , 11          , 0.0346410163, 0.0346410163
-8.061386   , 5.529109    , -0.0383062661, -0.0203665961, -0.00197881926, -1.057188   , 0.736605167 , -0.19721581 , 0.858794868 , -1.54115021 , -0.4927332  , -1.01730275 , 0.16        , 23          , 12          , 0.0346410163, 0
-8.1018095  , 5.194675    , 0.191175908 , -0.04056661 , 0.0150494874, -1.03571987 , 0.7396548   , -0.186507389, 0.859391451 , -1.54130781 , -0.50308156 , -1.0178225  , 0.17        , 23          , 50          , 0           , 0
-8.109637   , 4.9540987   , 0.319619775 , -0.0295995064, 0.00686908839, -1.05481887 , 0.743954659 , -0.179619983, 0.859680653 , -1.54139245 , -0.5136231  , -1.01825643 , 0.18        , 23          , 11          , 0.0346410163, 0.0346410163
-8.197033   , 4.68491936  , 0.373189747 , -0.0003832916, -0.0165998973, -1.09877169 , 0.743894339 , -0.170165077, 0.8590047   , -1.54130626 , -0.5246109  , -1.0184381  , 0.19        , 23          , 12          , 0.0346410163, 0
