Acc X       , Acc Y       , Acc Z       , Gyro X      , Gyro Y      , Gyro Z      , Magn X      , Magn Y      , Magn Z      , Time        , Status       
0.05882767  , 0.1167572   , -9.600137   , 0.0009457329, -0.00158350321, -0.0020041673, -0.2144398  , -0.0239989217, 0.4505865   , 136.40007   , 3
0.0624202043, 0.10867402  , -9.594298   , 0.002543679 , 0.00161238736, -0.0022703968, -0.2144398  , -0.0237966832, 0.450788736 , 136.410065  , 3
0.0565823428, 0.114960946 , -9.596544   , -0.0006522117, 0.00294400845, -0.003602018, -0.2144398  , -0.0237966832, 0.450788736 , 136.420059  , 3
0.0633183345, 0.121696934 , -9.591604   , 0.00281000324, -0.000251882244, -0.0022703968, -0.2144398  , -0.02372927 , 0.450788736 , 136.430069  , 3
0.0610729977, 0.123044126 , -9.580828   , -0.00171750854, -0.00131717918, -0.0022703968, -0.2144398  , -0.0239989217, 0.450788736 , 136.440063  , 3
0.06915619  , 0.1261876   , -9.611813   , -0.000119563185, 0.001079739 , -0.0022703968, -0.2145072  , -0.0237966832, 0.450788736 , 136.450058  , 3
0.0785865858, 0.1275348   , -9.575888   , -0.00118486024, 0.001079739 , -0.00333569385, -0.2145072  , -0.0237966832, 0.450788736 , 136.460068  , 3
0.07454498  , 0.119002536 , -9.585318   , 0.004407949 , 0.0040093055, -0.005466288, -0.2144398  , -0.023864096, 0.4506539   , 136.470062  , 3
0.0489482135, 0.125738531 , -9.588012   , 0.00201103045, 0.001079739 , -0.004134666, -0.214372382, -0.023864096, 0.4506539   , 136.480057  , 3
0.0462538227, 0.105530553 , -9.570948   , -0.00331545388, -0.003447773, -0.00200407254, -0.214372382, -0.0237966832, 0.4506539   , 136.490067  , 3
0.0520916767, 0.100590825 , -9.579928   , -0.00304912985, 0.001079739 , 0.00119181816, -0.214372382, -0.0237966832, 0.4506539   , 136.500061  , 3
0.06960526  , 0.110021204 , -9.591604   , 0.000146762 , 0.0013460631, -0.004134571, -0.2144398  , -0.0239315089, 0.450788736 , 136.510071  , 3
0.06915619  , 0.107775889 , -9.578582   , -0.00464707427, 0.00294400845, -0.00333559886, -0.214372382, -0.0240663346, 0.450721323 , 136.520065  , 3
0.0538879447, 0.102836162 , -9.591604   , -0.000918535, 0.00267768418, -0.00200397754, -0.2144398  , -0.02372927 , 0.4506539   , 136.53006   , 3
0.08128098  , 0.107775889 , -9.58891    , -0.000119562254, -0.001050855, -0.00173765328, -0.2144398  , -0.02372927 , 0.4506539   , 136.54007   , 3
0.06825806  , 0.104632415 , -9.592053   , 0.000146762 , 0.000547090371, 0.0003929406, -0.214304969, -0.0237966832, 0.450788736 , 136.550064  , 3
0.08083191  , 0.132474527 , -9.586664   , -0.00278280466, -0.00078453077, -0.004400896, -0.214304969, -0.023864096, 0.450721323 , 136.560059  , 3
0.07634126  , 0.119002536 , -9.590707   , -0.000119562254, -0.00158350356, -0.00333559886, -0.214372382, -0.023864096, 0.450721323 , 136.570068  , 3
0.0606239364, 0.130678251 , -9.58756351 , 0.006272219 , 0.000280766166, 0.000126616331, -0.214372382, -0.023864096, 0.450721323 , 136.580063  , 3
0.0404159538, 0.113164686 , -9.583073   , 0.005206922 , 0.000280766166, -0.00173765328, -0.21457462 , -0.023864096, 0.450721323 , 136.590057  , 3
0.07095246  , 0.125289455 , -9.590258   , 0.00467427354, 0.00214503566, -0.000139707932, -0.214304969, -0.0237966832, 0.450788736 , 136.600067  , 3
0.07499406  , 0.104632415 , -9.602831   , -0.000119561337, 0.000280766166, -0.00200388255, -0.21457462 , -0.0236618575, 0.4506539   , 136.610062  , 3
0.0583786   , 0.123044126 , -9.600137   , 0.00121206  , -0.002382476, -0.00306917937, -0.21457462 , -0.0236618575, 0.4506539   , 136.620071  , 3
0.0547860749, 0.114511877 , -9.600137   , 0.00294316746, -0.0005182066, -0.00187072065, -0.2144398  , -0.023864096, 0.4505865   , 136.630066  , 3
0.0592767373, 0.112266548 , -9.580378   , -0.000119561337, -0.00118401728, -0.00306917937, -0.2144398  , -0.023864096, 0.4505865   , 136.64006   , 3
0.0435594171, 0.132025465 , -9.600586   , 0.0004130872, 0.0005470904, -0.00360182836, -0.2144398  , -0.023864096, 0.450519085 , 136.65007   , 3
0.03772156  , 0.126636654 , -9.569151   , 0.002676843 , 0.00174554938, -0.00373499026, -0.2144398  , -0.023864096, 0.450519085 , 136.660065  , 3
0.057031408 , 0.100141764 , -9.559272   , 0.00187787029, 0.001212901 , -0.003468666, -0.214372382, -0.0237966832, 0.4506539   , 136.670059  , 3
0.06960526  , 0.106877752 , -9.585318   , -0.000785372, 0.000547090371, -0.002403369, -0.214372382, -0.0239315089, 0.4506539   , 136.680069  , 3
0.07948471  , 0.118104421 , -9.594298   , -0.00185066892, 0.00241136015, -0.00120490987, -0.214237556, -0.0239315089, 0.4505865   , 136.690063  , 3
0.08577164  , 0.12843293  , -9.607323   , -0.0022501552, 0.00214503612, -0.000672261463, -0.214372382, -0.023864096, 0.450721323 , 136.700058  , 3
0.0610729977, 0.1234932   , -9.632918   , -0.00118485733, -0.000385044317, -0.0010716531, -0.214372382, -0.023864096, 0.450721323 , 136.710068  , 3
0.0408650227, 0.131127328 , -9.594748   , 0.0009457364, -0.00131717906, -0.00240327418, -0.214304969, -0.02372927 , 0.450519085 , 136.720062  , 3
0.067809    , 0.129780129 , -9.586665   , 0.000279925764, -0.000651368464, -0.00266959844, -0.214237556, -0.023864096, 0.450519085 , 136.730057  , 3
0.065114595 , 0.118104406 , -9.567804   , 0.0002799258, 0.00187871163, -0.00187062577, -0.2144398  , -0.0236618575, 0.450721323 , 136.740067  , 3
0.0817300454, 0.120798789 , -9.590706   , 0.000146763792, 0.002544522 , -0.002536436, -0.2144398  , -0.0236618575, 0.450721323 , 136.750061  , 3
0.07095245  , 0.139659584 , -9.581725   , -0.00331545086, -0.0002518821, -0.00107165286, -0.214237556, -0.0239315089, 0.450519085 , 136.760071  , 3
0.0579295419, 0.128881991 , -9.58442    , -0.00118485745, -0.00238247565, 0.000393130264, -0.214304969, -0.0239989217, 0.450451672 , 136.770065  , 3
0.0628692657, 0.116308138 , -9.588461   , 0.0009457364, -0.00224931375, -0.0010716531, -0.2145072  , -0.0235944446, 0.4506539   , 136.78006   , 3
0.0588276722, 0.136067048 , -9.583521   , -0.00025272253, -0.00145034108, -0.00280276034, -0.2145072  , -0.0235944446, 0.4506539   , 136.79007   , 3
0.056133274 , 0.104632415 , -9.566008   , -0.0005190468, 0.000147604151, -0.00213695015, -0.2144398  , -0.0239315089, 0.450721323 , 136.800064  , 3
0.0507444739, 0.104183353 , -9.572744   , -0.000918532256, 0.0006802525, -0.0009383961, -0.214372382, -0.0239315089, 0.450316846 , 136.810059  , 3
0.0785865858, 0.105081491 , -9.58397    , 0.0006794131, -0.0005182066, -0.002003693, -0.2145072  , -0.023864096, 0.4505865   , 136.820068  , 3
0.0633183345, 0.110021204 , -9.575888   , 0.0008125752, -0.0002518824, -0.00133788248, -0.2145072  , -0.023864096, 0.4505865   , 136.830063  , 3
0.07813752  , 0.105081491 , -9.591604   , -0.000519045861, -0.0003850445, -0.000139423413, -0.214372382, -0.0239315089, 0.4506539   , 136.840057  , 3
0.06825806  , 0.119900674 , -9.587114   , -0.000918532256, -0.0006513688, -0.0006720719, -0.214304969, -0.0239315089, 0.450451672 , 136.850067  , 3
0.0592767373, 0.12214601  , -9.567355   , -0.0007853702, 0.0006802525, -0.00133788236, -0.214372382, -0.0237966832, 0.450519085 , 136.860062  , 3
0.0606239364, 0.13202545  , -9.566008   , 0.00107889937, 0.000147604063, -0.002003693, -0.214372382, -0.0237966832, 0.450519085 , 136.870071  , 3
0.05119354  , 0.09789643  , -9.579929   , 0.0012120615, 0.00107973884, -0.002669504, -0.2144398  , -0.0236618575, 0.4506539   , 136.880066  , 3
0.0619711354, 0.110919349 , -9.5947485  , 0.0006794133, 0.00214503566, -0.00107155833, -0.214237556, -0.0237966832, 0.450384259 , 136.89006   , 3
0.07274872  , 0.122145995 , -9.600137   , 0.0020110344, 0.0005470904, -0.000139423515, -0.214372382, -0.0236618575, 0.4505865   , 136.90007   , 3
0.0597258   , 0.0974473655, -9.58442    , 0.000812576036, 0.0002807662, -0.002003598, -0.214372382, -0.0236618575, 0.4505865   , 136.910065  , 3
0.0785865858, 0.120349735 , -9.590258   , -0.00105169346, -0.000518206565, -0.0014709495, -0.214304969, -0.02372927 , 0.4506539   , 136.920059  , 3
0.07454499  , 0.1167572   , -9.562415   , -0.00105169346, 0.000147603991, -0.000938301033, -0.214304969, -0.0239315089, 0.450451672 , 136.930069  , 3
0.0646655262, 0.117206275 , -9.557924   , 0.001345225 , 0.00161238713, -0.00160411163, -0.2144398  , -0.0235270318, 0.4505865   , 136.940063  , 3
0.07858658  , 0.132923588 , -9.587114   , 0.003875305 , 0.00187871139, -0.000805139, -0.2144398  , -0.0235270318, 0.4505865   , 136.950058  , 3
0.0799337849, 0.115859084 , -9.591604   , 0.00174471061, 0.001212901 , -6.166306E-06, -0.2145072  , -0.0237966832, 0.4506539   , 136.960068  , 3
0.07409592  , 0.10867402  , -9.597443   , -0.0013180176, -0.000651368639, -0.00120462535, -0.214372382, -0.0239315089, 0.450451672 , 136.970062  , 3
0.07319779  , 0.117655344 , -9.574989   , 0.000146765611, -0.000118720214, -0.00173727388, -0.214237556, -0.0237966832, 0.450384259 , 136.980057  , 3
0.0610730052, 0.126636669 , -9.594748   , 0.002810008 , 0.00147922512, -0.00147094962, -0.214237556, -0.0237966832, 0.450384259 , 136.990067  , 3
0.05748047  , 0.129780129 , -9.590258   , 0.00334265642, 0.00107973872, -0.0018704359, -0.214372382, -0.02372927 , 0.4506539   , 137.000061  , 3
0.0422122255, 0.124391332 , -9.589359   , -0.00158434093, -0.0009176931, -0.00253615179, -0.214304969, -0.0239989217, 0.450384259 , 137.010071  , 3
0.0489482135, 0.134719864 , -9.595646   , -0.00225015148, -0.000917693, -0.00346828648, -0.214170143, -0.0239315089, 0.450451672 , 137.020065  , 3
0.0619711354, 0.1140628   , -9.601933   , 0.00281000882, -0.00118401728, -0.00133769284, -0.214170143, -0.0239315089, 0.450451672 , 137.03006   , 3
0.0610730052, 0.114511877 , -9.601484   , 0.00334265758, 0.000547090254, -6.07162747E-06, -0.214372382, -0.0235944446, 0.450519085 , 137.04007   , 3
0.0624201968, 0.136516124 , -9.577683   , 0.00281000882, 0.00321033271, -0.00133769261, -0.214304969, -0.0239315089, 0.450519085 , 137.050064  , 3
0.0507444739, 0.113164686 , -9.578582   , 0.00147838774, 0.00161238736, -0.002669314, -0.214170143, -0.02372927 , 0.450451672 , 137.060059  , 3
0.07813752  , 0.127534792 , -9.592952   , 0.000945739448, -0.000118720345, -0.00187034137, -0.214170143, -0.02372927 , 0.450451672 , 137.070068  , 3
0.03772156  , 0.112715609 , -9.610465   , 0.0002799288, -0.000118720345, -0.00200350326, -0.2144398  , -0.0237966832, 0.450451672 , 137.080063  , 3
0.06331833  , 0.122595072 , -9.62304    , -0.00065220613, 0.00147922512, -0.00226982753, -0.214304969, -0.02372927 , 0.450384259 , 137.090057  , 3
0.07274872  , 0.118553475 , -9.583522   , 0.00121206348, 0.003476657 , -0.000938206445, -0.214170143, -0.0237966832, 0.450249434 , 137.100067  , 3
0.05478607  , 0.106428683 , -9.571846   , -0.000519043, 0.00121290085, -0.000938111858, -0.214170143, -0.0237966832, 0.450249434 , 137.110062  , 3
0.04849915  , 0.12528947  , -9.584868   , -0.00464706868, -0.00158350356, -0.00147076033, -0.2144398  , -0.023864096, 0.450451672 , 137.120071  , 3
0.0484991521, 0.12214601  , -9.577235   , -0.00251647481, -0.00131717941, -0.00240289513, -0.214237556, -0.0235270318, 0.450384259 , 137.130066  , 3
0.057031408 , 0.106428683 , -9.561068   , -0.0009185293, 0.001212901 , -0.00413400261, -0.214237556, -0.0237966832, 0.450182021 , 137.14006   , 3
0.0570314   , 0.117655337 , -9.589808   , -0.00225015054, 0.00107973884, -0.00466665067, -0.214237556, -0.0237966832, 0.450182021 , 137.15007   , 3
0.0359252952, 0.103285223 , -9.586665   , -0.00171750225, -0.000651368755, -0.00293554366, -0.21457462 , -0.02372927 , 0.450451672 , 137.160065  , 3
