Acc X       , Acc Y       , Acc Z       , Gyro X      , Gyro Y      , Gyro Z      , Euler X     , Euler Y     , Euler Z     , Time        , Status       
-0.5178314  , 9.741863    , 0.8312217   , 0.00041296822, -0.004487794, 0.001641542 , -1.6624     , -0.06244004 , 1.25483155  , 16.61       , 3
-0.522263169, 9.731225    , 0.855557561 , -0.003846619, -0.00370615977, -0.00104371668, -1.6624409  , -0.06244706 , 1.2548697   , 16.62       , 3
-0.5425858  , 9.743239    , 0.8633026   , -0.003825054, -0.00240358524, -0.005311578, -1.662481   , -0.0624977  , 1.25489831  , 16.63       , 3
-0.532696545, 9.771545    , 0.8551163   , 0.000722812139, -0.00214885 , -0.0068926895, -1.66247535 , -0.06256441 , 1.254926    , 16.64       , 3
-0.5270887  , 9.750284    , 0.8603034   , 0.008731735 , -0.003479353, -0.00659065042, -1.66239071 , -0.0626268238, 1.254967    , 16.65       , 3
-0.5258048  , 9.745474    , 0.8175805   , 0.008450884 , -0.004526298, -0.003924029, -1.66230929 , -0.06266179 , 1.25501561  , 16.66       , 3
-0.541311741, 9.743441    , 0.8268459   , 0.008182749 , -0.0034581027, -0.00339339138, -1.66222978 , -0.0626924  , 1.25505328  , 16.67       , 3
-0.5099703  , 9.71330452  , 0.829739332 , 0.0100430129, -0.00477865059, -0.00178394874, -1.6621325  , -0.06270571 , 1.2551024   , 16.68       , 3
-0.4973976  , 9.759346    , 0.8435188   , 0.009790251 , -0.00239906786, -0.00418804958, -1.66203642 , -0.06274522 , 1.25513     , 16.69       , 3
-0.5469836  , 9.775665    , 0.8395865   , 0.0050201905, -0.00405380456, -0.00548441429, -1.6617856  , -0.0624234378, 1.25607371  , 16.7        , 3
-0.5356198  , 9.774602    , 0.833891749 , -0.0013884746, -0.002453919, -0.00524686743, -1.66180134 , -0.0624734573, 1.2561028   , 16.71       , 3
-0.539357662, 9.732703    , 0.8463141   , -0.000337202451, -0.00216328655, -0.00151002267, -1.66180623 , -0.0624864735, 1.25612569  , 16.72       , 3
-0.552004158, 9.73828     , 0.8492565   , 0.0007272124, -0.006957803, -0.00203207787, -1.66180336 , -0.06250036 , 1.25619721  , 16.73       , 3
-0.524497449, 9.744129    , 0.8212102   , -0.00353945373, -0.0058994377, -0.00311796227, -1.66184258 , -0.0625261  , 1.25625873  , 16.74       , 3
-0.528323233, 9.775854    , 0.8299266   , -0.00487429556, -0.0008334287, -0.00179752451, -1.661892   , -0.06254324 , 1.25626874  , 16.75       , 3
-0.545179963, 9.778833    , 0.843639135 , -0.00461303256, -0.004291733, -0.00152492733, -1.66194081 , -0.06255459 , 1.25631309  , 16.76       , 3
-0.549235165, 9.743674    , 0.8497029   , -0.00409004837, -0.00427596876, 0.000876931 , -1.66198456 , -0.0625418946, 1.256355    , 16.77       , 3
-0.52064836 , 9.744688    , 0.844221    , -0.00116208452, -0.00319603132, 0.00328735961, -1.66199791 , -0.06250627 , 1.25638413  , 16.78       , 3
-0.519021153, 9.756779    , 0.8301933   , -0.00249965629, -0.00772570865, 0.002488243 , -1.66202748 , -0.0624745  , 1.256459    , 16.79       , 3
-0.5349453  , 9.75381851  , 0.834957242 , -0.00591557333, -0.00647645351, -0.00148108706, -1.66187358 , -0.062157236, 1.25755429  , 16.8        , 3
-0.52108705 , 9.7286005   , 0.8709021   , -0.0040325257, -0.004629578, -0.00387549517, -1.661917   , -0.0621916652, 1.25760388  , 16.81       , 3
-0.51148355 , 9.728435    , 0.8611247   , -0.00268536038, -0.0041133794, -0.00627027266, -1.66194677 , -0.06225028 , 1.25765061  , 16.82       , 3
-0.528731048, 9.76946     , 0.818712354 , -0.002424283, -0.006771455, -0.00573217124, -1.6619755  , -0.06230128 , 1.25772309  , 16.83       , 3
-0.5248035  , 9.779067    , 0.84345746  , 0.00129230518, -0.004873813, -0.000386636268, -1.66196561 , -0.0623006821, 1.25777268  , 16.84       , 3
-0.5187354  , 9.755976    , 0.845962763 , 0.00369237037, -0.00753581151, -0.000372838229, -1.6619333  , -0.06229758 , 1.257848    , 16.85       , 3
