Acc X       , Acc Y       , Acc Z       , Gyro X      , Gyro Y      , Gyro Z      , Magn X      , Magn Y      , Magn Z      , Euler X     , Euler Y     , Euler Z     , Time        , Status       
-0.0198757648, 0.0223452114, -9.805607   , 0.00412130635, -0.0009867541, 0.000650043832, 0.800056636 , 0.383666068 , 0.730871141 , 0.00131187926, -0.00141607819, -0.442810774, 31.66       , 23
-0.01582246 , 0.0222708136, -9.806014   , 0.00300258375, -0.000399491284, -0.00104643975, 0.799772859 , 0.383817554 , 0.7330139   , 0.00134191965, -0.001420059, -0.442821264, 31.67       , 23
-0.0288440045, -0.0039302  , -9.826618   , -9.55023E-05, 0.000183456519, 9.175902E-05, 0.8003212   , 0.3835292   , 0.7324389   , 0.0013409633, -0.0014182257, -0.4428203  , 31.68       , 23
-0.03247887 , -5.65219634E-05, -9.791073   , 0.00302477437, 0.00243324554, -0.00044320256, 0.799923    , 0.383665353 , 0.730443656 , 0.00137121731, -0.00139388721, -0.442824841, 31.69       , 23
-0.0309739243, 0.005892734 , -9.807659   , 0.0007690469, 0.002726088 , 0.000375268224, 0.799923    , 0.383665353 , 0.730443656 , 0.00136551645, -0.00138494582, -0.443196535, 31.7        , 23
-0.03048886 , 0.00682971254, -9.813946   , 0.0007237527, -0.00266529736, 0.000590927433, 0.7997723   , 0.383677542 , 0.733298838 , 0.00137274573, -0.00141160656, -0.4431908  , 31.71       , 23
-0.0240272153, 0.0161461774, -9.810201   , 0.004137872 , 0.0007246543, -0.00106420321, 0.8005947   , 0.3833855   , 0.7322942   , 0.00141413952, -0.00140434527, -0.4432013  , 31.72       , 23
-0.03288121 , 0.0235788263, -9.817434   , -0.00208218838, -0.00122393016, 0.0003216649, 0.7995109   , 0.383671582 , 0.7313022   , 0.001393313 , -0.00141658913, -0.4431982  , 31.73       , 23
-0.025488181, 0.03510881  , -9.810512   , -0.00180949178, -0.00263667526, -0.000830739038, 0.7995109   , 0.383671582 , 0.7313022   , 0.00137523  , -0.0014429444, -0.443206549, 31.74       , 23
-0.02147483 , 0.0101320352, -9.795374   , -0.004054374, -0.00120719639, 3.55322263E-05, 0.800175846 , 0.383958668 , 0.733725846 , 0.00133468583, -0.00145501678, -0.443206072, 31.75       , 23
-0.04198067 , -0.00473372638, -9.805162   , 0.004138396 , 0.00155648857, 0.00178364653, 0.800185859 , 0.383670181 , 0.732154846 , 0.001376044 , -0.00143947615, -0.443188429, 31.76       , 23
-0.03934753 , -0.004515672, -9.779482   , 0.004666428 , -0.00298050744, 0.000875900732, 0.7999136   , 0.383532047 , 0.7324412   , 0.00142269558, -0.00146929349, -0.4431796  , 31.77       , 23
-0.0263722911, 0.011651597 , -9.805763   , -0.0001153535, -0.00180989015, 0.0008843448, 0.8004499   , 0.3833932   , 0.7340076   , 0.00142152887, -0.00148740469, -0.4431708  , 31.78       , 23
-0.0430615358, 0.03411536  , -9.813853   , -0.00119517779, 0.00331970188, -0.00132225349, 0.8004499   , 0.3833932   , 0.7340076   , 0.00140959641, -0.001454189, -0.4431839  , 31.79       , 23
-0.0296273772, 0.0315276869, -9.802935   , -0.006874114, -0.00118383369, -0.0005353408, 0.8004593   , 0.3835265   , 0.732010067 , 0.00131502759, -0.0014815327, -0.443189383, 31.8        , 23
-0.03686858 , 0.02855583  , -9.809334   , -0.00434361072, -0.00177402818, 2.80312379E-05, 0.7996374   , 0.383537322 , 0.733299    , 0.00127159094, -0.001499273, -0.4431889  , 31.81       , 23
-0.02783454 , 0.00450917333, -9.811687   , -0.0052062124, -0.00375518482, 0.0002856321, 0.8001823   , 0.383111119 , 0.7335798   , 0.00121952477, -0.00153682835, -0.443186045, 31.82       , 23
-0.0148765445, 0.0223614424, -9.821304   , 0.00297911651, -0.00212038541, 0.00116828817, 0.8001823   , 0.383111119 , 0.7335798   , 0.00124929764, -0.00155804679, -0.4431746  , 31.83       , 23
-0.028885562, 0.0216417741, -9.809307   , -0.00402953476, 0.002193131 , 0.000362230785, 0.7999223   , 0.383665919 , 0.7305864   , 0.00120899675, -0.00153611985, -0.4431708  , 31.84       , 23
-0.0260658022, 0.003967002 , -9.803573   , 0.0021590672, 0.000728270737, 0.000351935159, 0.7999063   , 0.3839589   , 0.7332992   , 0.00123058213, -0.00152884133, -0.443167448, 31.85       , 23
-0.0407121629, 0.0151069341, -9.809485   , 0.00104008452, 0.00159153587, -0.000206125012, 0.800181746 , 0.383954167 , 0.7325841   , 0.00124098617, -0.00151292339, -0.443169355, 31.86       , 23
-0.04062873 , 0.0213454738, -9.799534   , 0.00162398617, 0.004414298 , 0.00124893594, 0.799923    , 0.383665353 , 0.730443656 , 0.00125720713, -0.00146879663, -0.443156958, 31.87       , 23
-0.0116748856, 0.00322157331, -9.800727   , -0.00462792628, -0.00260948553, -0.00196903315, 0.799923    , 0.383665353 , 0.730443656 , 0.00121095718, -0.00149486691, -0.4431765  , 31.88       , 23
-0.0233510416, 0.004810134 , -9.802637   , -0.0026361593, 0.0001988638, 5.517894E-05, 0.7999111   , 0.3832531   , 0.7332964   , 0.0011845947, -0.00149287877, -0.443176031, 31.89       , 23
-0.0221777316, -0.00512881 , -9.802706   , 0.00131949375, 0.00214509666, 0.00121994759, 0.8005935   , 0.3836673   , 0.732152641 , 0.00116078253, -0.00149107527, -0.443163633, 31.9        , 23
-0.01539252 , 0.0196252484, -9.815483   , 0.00242033228, -0.000985506, 0.00146564411, 0.8000527   , 0.383809477 , 0.7314425   , 0.001184964 , -0.00150094752, -0.4431491  , 31.91       , 23
-0.0079391  , 0.00692234933, -9.824059   , 0.0049876445, 0.00240697013, 0.000376896234, 0.8000527   , 0.383809477 , 0.7314425   , 0.00123483478, -0.00147688237, -0.443145275, 31.92       , 23
-0.009030005, 1.5694648E-05, -9.800726   , 0.00303869322, 0.00553627033, 0.00126500358, 0.800315738 , 0.383252472 , 0.7338651   , 0.00126520323, -0.00142153539, -0.443132639, 31.93       , 23
-0.0270818658, 0.0233398825, -9.799375   , -0.005471807, -0.00148205669, -0.0002534709, 0.8004553   , 0.384231746 , 0.7318702   , 0.00121048884, -0.0014363532, -0.443135262, 31.94       , 23
-0.0333377346, 0.0013537379, -9.796921   , 0.000171663618, -0.0003974287, 0.0009026183, 0.800049245 , 0.3836717   , 0.7322983   , 0.00121219258, -0.00144033832, -0.4431262  , 31.95       , 23
