Acc X       , Acc Y       , Acc Z       , Gyro X      , Gyro Y      , Gyro Z      , Magn X      , Magn Y      , Magn Z      , Euler X     , Euler Y     , Euler Z     , Time        , Status      , LowRate X   , LowRate Y   , LowRate Z    
-0.15551129 , -0.3476733  , 9.83801651  , 0.00104844687, -0.0009774105, 0.000282437657, 0.2994472   , 0.219630584 , -0.4622489  , 3.1043365   , -0.013225385, 0.60386014  , 0           , 3           , 11          , 0.0346410163, 0.0346410163
-0.128990024, -0.364406139, 9.785254    , -0.0144113861, -0.000429714972, 0.0005445434, 0.299514621 , 0.219495758 , -0.4623163  , 3.1041925   , -0.0132212937, 0.6038544   , 0.01        , 3           , 12          , 0.0346410163, 0
-0.124440879, -0.365696639, 9.77895     , -0.0218694564, -0.000549343764, 0.000275943545, 0.299649447 , 0.219698    , -0.4623163  , 3.10397387  , -0.01321591 , 0.6038513   , 0.02        , 3           , 14          , 0           , 0.000325095141
-0.117728435, -0.36253503 , 9.797965    , 0.00236361474, 0.000106518586, -0.000509619946, 0.2994472   , 0.220035061 , -0.462046653, 3.10399747  , -0.0132167833, 0.603856564 , 0.03        , 3           , 15          , 0           , -0.0009331381
-0.135103032, -0.383892328, 9.787868    , 0.00448369328, 0.000936028257, 0.0005563054, 0.2993798   , 0.21976541  , -0.461911827, 3.10404229  , -0.0132263461, 0.6038513   , 0.04        , 3           , 50          , 0           , 0
-0.141172484, -0.367699653, 9.790148    , 0.002869288 , 0.00197259616, 2.85581918E-05, 0.2993798   , 0.21976541  , -0.461911827, 3.104071    , -0.01324607 , 0.6038518   , 0.05        , 3           , 11          , 0.0346410163, 0.0346410163
-0.117365763, -0.356701434, 9.810182    , 0.009286143 , 0.000481971278, 0.0008218288, 0.29971686  , 0.219967648 , -0.4623163  , 3.104164    , -0.013251191, 0.6038439   , 0.06        , 3           , 12          , 0.0346410163, 0
-0.110668212, -0.3475725  , 9.80031     , 0.0119519336, 0.00026092492, -0.0007711806, 0.299649447 , 0.219563171 , -0.462181479, 3.10428333  , -0.0132535137, 0.603851557 , 0.07        , 3           , 14          , 0           , 0.000325095141
-0.133643165, -0.355007261, 9.797456    , 0.0146041624, 0.00109952141, -0.000236075619, 0.299514621 , 0.21976541  , -0.462046653, 3.10442948  , -0.0132644121, 0.6038544   , 0.08        , 3           , 15          , 0           , -0.0009331381
-0.158812538, -0.3655683  , 9.777868    , 0.0132895438, 1.50688866E-05, 0.00108702236, 0.299514621 , 0.21976541  , -0.462046653, 3.10456252  , -0.0132649662, 0.603843451 , 0.09        , 3           , 50          , 0           , 0
