Acc X       , Acc Y       , Acc Z       , Gyro X      , Gyro Y      , Gyro Z      , Magn X      , Magn Y      , Magn Z      , Euler X     , Euler Y     , Euler Z     , Time        , Status      , LowRate X   , LowRate Y   , LowRate Z    
-0.0671003461, 0.0809555948, -9.786086   , -0.00308069284, -0.000960587757, -0.0009489127, -0.225495487, -0.1353647  , 0.4511258   , -0.008813658, -0.008906859, 2.62162185  , 0           , 3           , 11          , 0.0346410163, 0.0346410163
-0.0759752244, 0.0937062353, -9.789718   , -0.0019654152, 0.00186270045, -0.00178691791, -0.225428075, -0.134960219, 0.451328039 , -0.008833151, -0.00888839 , 2.62160373  , 0.01        , 3           , 12          , 0.0346410163, 0
-0.0988504961, 0.07726583  , -9.78589249 , -0.00125652284, 0.00144513138, -0.00051285763, -0.225428075, -0.134960219, 0.451328039 , -0.00884567 , -0.008873985, 2.62159848  , 0.02        , 3           , 50          , 0           , 0
-0.09895143 , 0.06423988  , -9.80312252 , -0.00153042236, -0.0002461683, -0.000234240681, -0.225630313, -0.135229871, 0.451328039 , -0.008860954, -0.008876468, 2.621596    , 0.03        , 3           , 11          , 0.0346410163, 0.0346410163
-0.0868913755, 0.05503555  , -9.79177    , -0.00125386077, 0.00102278672, 0.0004753726, -0.225495487, -0.135095045, 0.451462865 , -0.008873533, -0.008866199, 2.62160087  , 0.04        , 3           , 12          , 0.0346410163, 0
-0.0982938856, 0.07645194  , -9.813914   , -0.0009681122, 0.00032078306, 0.000193067171, -0.2255629  , -0.135432109, 0.451328039 , -0.00888323 , -0.008862974, 2.62160277  , 0.05        , 3           , 50          , 0           , 0
-0.09274539 , 0.0934427   , -9.787134   , -0.0002600357, -9.679022E-05, 5.44398063E-05, -0.2255629  , -0.135432109, 0.451328039 , -0.008885835, -0.008863937, 2.62160325  , 0.06        , 3           , 11          , 0.0346410163, 0.0346410163
-0.09037748 , 0.105551839 , -9.773506   , 1.50503183E-05, 0.00145372923, 0.00062321825, -0.225428075, -0.135432109, 0.4511258   , -0.008885739, -0.008849344, 2.62160945  , 0.07        , 3           , 12          , 0.0346410163, 0
-0.07790281 , 0.09006236  , -9.773024   , 0.00115074147, 0.0003351108, 0.001333094 , -0.225630313, -0.135229871, 0.451530278 , -0.008874351, -0.008845875, 2.6216228   , 0.08        , 3           , 50          , 0           , 0
-0.08441447 , 0.07080379  , -9.79304    , 0.000308547664, -0.000796881737, 0.0004797952, -0.225428075, -0.135297284, 0.451395452 , -0.00887130853, -0.008853801, 2.62162757  , 0.09        , 3           , 11          , 0.0346410163, 0.0346410163
