Acc X       , Acc Y       , Acc Z       , Gyro X      , Gyro Y      , Gyro Z      , Magn X      , Magn Y      , Magn Z      , Euler X     , Euler Y     , Euler Z     , Time        , Status      , LowRate X   , LowRate Y   , LowRate Z    
-0.132542938, 0.0676884949, -9.77263    , -0.00287931249, -0.002595576, 2.28128047E-05, -0.139813945, -0.173452884, 0.4271943   , -0.008483183, -0.0141131654, 2.27927136  , 19.18       , 3           , 12          , 0.1999545   , 0
-0.1427927  , 0.07062198  , -9.803884   , -0.0006197347, -0.00258029532, 0.000315885729, -0.1400836  , -0.172711343, 0.427329123 , -0.008489429, -0.0141389407, 2.2792747   , 19.19       , 3           , 50          , 0           , 0
-0.150721714, 0.0798238441, -9.828765   , -0.00119547488, -0.000330985029, 0.000317095779, -0.139813945, -0.17311582 , 0.427463949 , -0.008499173, -0.014136917, 2.27928758  , 19.2        , 3           , 11          , 0.00321474182, 0.003214839
-0.143362314, 0.0990249142, -9.79473    , -0.00147339341, -0.00117758883, 0.000879552 , -0.139813945, -0.17311582 , 0.427463949 , -0.008514033, -0.0141486181, 2.27929616  , 19.21       , 3           , 12          , 0.20054774  , 0
-0.134884045, 0.0916813   , -9.787464   , 0.0007919233, -0.0022885676, 0.0014534269, -0.139881358, -0.173250645, 0.4271943   , -0.008506321, -0.0141713787, 2.279311    , 19.22       , 3           , 50          , 0           , 0
-0.127639711, 0.0938278139, -9.780168   , -0.00203996734, -0.000899845152, 0.000312277116, -0.140488073, -0.1730484  , 0.427463949 , -0.008526768, -0.0141803492, 2.27931428  , 19.23       , 3           , 11          , 0.00321474182, 0.003214839
-0.154102564, 0.07388723  , -9.796272   , 0.000494325766, 0.00080673903, 0.0017394207, -0.139813945, -0.172913581, 0.427531362 , -0.008522069, -0.014172134, 2.27933145  , 19.24       , 3           , 12          , 0.20054774  , 0
-0.138432488, 0.0530253351, -9.81929    , 0.00107550679, -0.00284979586, -0.0013714988, -0.1400836  , -0.1730484  , 0.427059472 , -0.008511122, -0.0142007489, 2.279318    , 19.25       , 3           , 50          , 0           , 0
-0.143912926, 0.07752615  , -9.840022   , -0.00318394066, 0.00190816435, -0.000253725972, -0.1400836  , -0.1730484  , 0.427059472 , -0.008542924, -0.0141816884, 2.27931523  , 19.26       , 3           , 11          , 0.00321474182, 0.003214839
-0.143969491, 0.08685367  , -9.796142   , 0.00274767517, 0.00194827665, 0.0009040793, -0.1400836  , -0.1730484  , 0.427396536 , -0.008515573, -0.0141621307, 2.27932429  , 19.27       , 3           , 12          , 0.20054774  , 0
-0.133519024, 0.09568791  , -9.776137   , -0.000336137833, -0.00285934331, -0.000530471, -0.140016183, -0.172913581, 0.427463949 , -0.00851886347, -0.0141907679, 2.279319    , 19.28       , 3           , 50          , 0           , 0
-0.139116049, 0.08624578  , -9.766727   , 0.001613296 , 0.00278533  , 5.25009418E-05, -0.139881358, -0.173250645, 0.4272617   , -0.008502733, -0.0141629111, 2.27931952  , 19.29       , 3           , 11          , 0.00321474182, 0.003214839
-0.130153671, 0.06820983  , -9.801537   , 0.00444290135, 0.001677931 , -0.000218443471, -0.139881358, -0.173250645, 0.4272617   , -0.008458945, -0.0141481934, 2.279321    , 19.3        , 3           , 12          , 0.201136768 , 0
-0.131680742, 0.08943973  , -9.802816   , 0.00247427821, -2.48292636E-05, -0.000230265621, -0.139813945, -0.172981   , 0.427329123 , -0.00843417 , -0.0141484616, 2.279319    , 19.31       , 3           , 50          , 0           , 0
-0.1508768  , 0.08192992  , -9.784011   , 0.0004991735, -0.000319761748, 0.00060769415, -0.139746532, -0.172913581, 0.427329123 , -0.00842926651, -0.0141516114, 2.27932477  , 19.32       , 3           , 11          , 0.00321227266, 0.00321236462
-0.145835489, 0.08325967  , -9.794362   , -0.0009191892, 0.0007969456, -0.0005273045, -0.139813945, -0.1730484  , 0.427329123 , -0.008438381, -0.014143683, 2.27931952  , 19.33       , 3           , 12          , 0.201136768 , 0
-0.137845844, 0.107955411 , -9.786063   , -0.0017512989, -0.0023060008, -0.00081856607, -0.139813945, -0.1730484  , 0.427329123 , -0.008455782, -0.0141668115, 2.27931142  , 19.34       , 3           , 50          , 0           , 0
-0.125858754, 0.09333574  , -9.774281   , 0.0010481294, 0.00249969983, -0.00277578249, -0.13994877 , -0.172981   , 0.4271943   , -0.008444904, -0.0141420495, 2.27928376  , 19.35       , 3           , 11          , 0.00321227266, 0.00321236462
-0.146827891, 0.0466733649, -9.780058   , -0.000923860644, 0.00164163858, -0.00137361512, -0.140016183, -0.1730484  , 0.427598774 , -0.00845394749, -0.0141257495, 2.27926946  , 19.36       , 3           , 12          , 0.201136768 , 0
-0.125809684, 0.09159011  , -9.791915   , 0.00132194022, 0.00447257049, -0.000793665356, -0.139813945, -0.173318058, 0.427396536 , -0.008440609, -0.0140810926, 2.27926135  , 19.37       , 3           , 50          , 0           , 0
-0.122608267, 0.09693496  , -9.782377   , -0.00204750244, 0.000507740653, -0.000533006154, -0.139813945, -0.173318058, 0.427396536 , -0.008461008, -0.0140760606, 2.279256    , 19.38       , 3           , 11          , 0.00321227266, 0.00321236462
-0.1516313  , 0.0544633977, -9.798594   , 0.000784388161, -0.00088098197, 0.0006081433, -0.13994877 , -0.173183233, 0.4272617   , -0.008453253, -0.0140848216, 2.2792623   , 19.39       , 3           , 12          , 0.201136768 , 0
-0.130015716, 0.0558979549, -9.764071   , 0.0019112411, -0.000310075266, -0.000798197463, -0.139881358, -0.172846168, 0.427598774 , -0.008427567, -0.014086755, 2.27926     , 19.4        , 3           , 50          , 0           , 0
-0.153482392, 0.09365697  , -9.773587   , 0.00161921943, 0.00165897107, -0.0005139394, -0.140151009, -0.17311582 , 0.427531362 , -0.008411301, -0.0140702073, 2.2792542   , 19.41       , 3           , 11          , 0.00320989569, 0.00320998859
-0.153098583, 0.0784198642, -9.8057375  , 0.000515419932, -0.00341683626, 0.000885669258, -0.140151009, -0.17311582 , 0.427531362 , -0.008406275, -0.0141043  , 2.27926373  , 19.42       , 3           , 12          , 0.201720938 , 0
-0.123761483, 0.0771055147, -9.785632   , -0.00118955167, -0.00145734369, -0.000249344535, -0.139813945, -0.172981   , 0.4272617   , -0.008418138, -0.0141188931, 2.27926135  , 19.43       , 3           , 50          , 0           , 0
-0.138061345, 0.09126586  , -9.787038   , 0.0004937684, 0.001088208 , 0.002022762 , -0.140151009, -0.172981   , 0.427531362 , -0.008413485, -0.014107842, 2.27928138  , 19.44       , 3           , 11          , 0.00320989569, 0.00320998859
-0.168576449, 0.0745160356, -9.79864    , 0.000226275122, -0.0022924915, -0.0010916742, -0.13994877 , -0.173250645, 0.427598774 , -0.00841107 , -0.0141308578, 2.27927041  , 19.45       , 3           , 12          , 0.201720938 , 0
-0.157612741, 0.08696476  , -9.781781   , 0.001624143 , 0.000532707665, -0.00164582534, -0.13994877 , -0.173250645, 0.427598774 , -0.008394596, -0.0141256694, 2.2792542   , 19.46       , 3           , 50          , 0           , 0
-0.13482438 , 0.05654212  , -9.804333   , -0.0006426569, 0.00220682286, 4.14677343E-05, -0.140016183, -0.1730484  , 0.427463949 , -0.008401027, -0.0141035989, 2.2792542   , 19.47       , 3           , 11          , 0.00320989569, 0.00320998859
-0.142697543, 0.0706990957, -9.826933   , -0.00091072853, -0.000892307435, -0.0016598471, -0.139881358, -0.173250645, 0.427329123 , -0.008409901, -0.0141126616, 2.279238    , 19.48       , 3           , 12          , 0.201720938 , 0
-0.143579781, 0.07965563  , -9.803852   , -0.00119701109, -4.95206623E-05, -0.00109478738, -0.13994877 , -0.172981   , 0.427329123 , -0.008421714, -0.01411325 , 2.27922654  , 19.49       , 3           , 50          , 0           , 0
-0.128669247, 0.07990114  , -9.794697   , 0.00276262034, -0.0005874506, 0.000900791842, -0.13994877 , -0.172981   , 0.427329123 , -0.008379308, -0.014132387, 2.27924275  , 19.5        , 3           , 11          , 0.00320756971, 0.00320766051
